fold,feature,repeat,macro_f1_decrease
1,age,1,0.006544323832787469
1,age,2,0.0034476357124447743
1,age,3,-0.002783758230051059
1,age,4,-0.0005915714610026379
1,age,5,0.0
1,age,6,0.013680219126577575
1,age,7,0.001531792504466556
1,age,8,0.009629147690305984
1,age,9,0.01117395346241723
1,age,10,0.015268523937827183
1,gender,1,0.003085984127151442
1,gender,2,0.003085984127151442
1,gender,3,0.003085984127151442
1,gender,4,0.0
1,gender,5,0.002515723270440362
1,gender,6,0.003085984127151442
1,gender,7,0.003085984127151442
1,gender,8,0.003085984127151442
1,gender,9,0.002515723270440362
1,gender,10,-0.0005915714610026379
1,sleep_quality_index,1,0.015765559522046835
1,sleep_quality_index,2,0.004038058168627123
1,sleep_quality_index,3,-0.0005915714610026379
1,sleep_quality_index,4,0.004038058168627123
1,sleep_quality_index,5,0.006703969530325593
1,sleep_quality_index,6,0.003085984127151442
1,sleep_quality_index,7,0.010177446698066084
1,sleep_quality_index,8,0.010330553309202073
1,sleep_quality_index,9,0.011769265528199235
1,sleep_quality_index,10,0.010177446698066084
1,brain_fog_level,1,0.0019443741576558038
1,brain_fog_level,2,-0.0005915714610026379
1,brain_fog_level,3,-0.0077274667547926335
1,brain_fog_level,4,-0.009331479999545755
1,brain_fog_level,5,-0.0071134244198655106
1,brain_fog_level,6,0.002515723270440362
1,brain_fog_level,7,-0.0030978371251629833
1,brain_fog_level,8,-0.0071134244198655106
1,brain_fog_level,9,0.0081096403744495
1,brain_fog_level,10,-0.014026315680296886
1,physical_pain_score,1,-0.0009092980001762507
1,physical_pain_score,2,0.00869555788387577
1,physical_pain_score,3,0.009629147690305984
1,physical_pain_score,4,0.015268523937827183
1,physical_pain_score,5,0.009629147690305984
1,physical_pain_score,6,-0.0017784531397294634
1,physical_pain_score,7,0.014226848839731132
1,physical_pain_score,8,0.00869555788387577
1,physical_pain_score,9,0.016742572110171494
1,physical_pain_score,10,0.0
1,stress_level,1,-0.0037112478509332414
1,stress_level,2,0.007520877929120817
1,stress_level,3,0.009629147690305984
1,stress_level,4,0.016742572110171494
1,stress_level,5,0.006544323832787469
1,stress_level,6,0.017268909268980615
1,stress_level,7,0.004038058168627123
1,stress_level,8,0.016742572110171494
1,stress_level,9,0.009629147690305984
1,stress_level,10,-0.00044138336974430814
1,depression_phq9_score,1,0.26758064673790505
1,depression_phq9_score,2,0.24248159913872547
1,depression_phq9_score,3,0.24250358412912032
1,depression_phq9_score,4,0.24271351240135686
1,depression_phq9_score,5,0.3032439031959414
1,depression_phq9_score,6,0.30539781483582107
1,depression_phq9_score,7,0.21887903443154055
1,depression_phq9_score,8,0.24728356533723717
1,depression_phq9_score,9,0.2866965079632998
1,depression_phq9_score,10,0.276573901378924
1,fatigue_severity_scale_score,1,0.14616028312261298
1,fatigue_severity_scale_score,2,0.1566626995378516
1,fatigue_severity_scale_score,3,0.11962072563979254
1,fatigue_severity_scale_score,4,0.15977737609538778
1,fatigue_severity_scale_score,5,0.1725035911948768
1,fatigue_severity_scale_score,6,0.11364610872891745
1,fatigue_severity_scale_score,7,0.12816001895539852
1,fatigue_severity_scale_score,8,0.16583998355674712
1,fatigue_severity_scale_score,9,0.1680438729056155
1,fatigue_severity_scale_score,10,0.1555435552131369
1,pem_duration_hours,1,0.014226848839731132
1,pem_duration_hours,2,0.009629147690305984
1,pem_duration_hours,3,0.017268909268980615
1,pem_duration_hours,4,0.006160703637994924
1,pem_duration_hours,5,0.01117395346241723
1,pem_duration_hours,6,0.006544323832787469
1,pem_duration_hours,7,0.017268909268980615
1,pem_duration_hours,8,0.02604307115634974
1,pem_duration_hours,9,0.009790298007024911
1,pem_duration_hours,10,0.006160703637994924
1,hours_of_sleep_per_night,1,-0.0011578018517943711
1,hours_of_sleep_per_night,2,0.021340273259596643
1,hours_of_sleep_per_night,3,0.0029823452936533767
1,hours_of_sleep_per_night,4,-0.0009092980001762507
1,hours_of_sleep_per_night,5,0.009150821291335376
1,hours_of_sleep_per_night,6,0.005033315740066047
1,hours_of_sleep_per_night,7,0.01117395346241723
1,hours_of_sleep_per_night,8,-0.0071134244198655106
1,hours_of_sleep_per_night,9,0.005033315740066047
1,hours_of_sleep_per_night,10,0.003085984127151442
1,pem_present,1,0.16221522296477342
1,pem_present,2,0.1800042164951816
1,pem_present,3,0.1382330166861202
1,pem_present,4,0.13447895623755135
1,pem_present,5,0.12422332797397262
1,pem_present,6,0.11248784679283741
1,pem_present,7,0.1329966973069675
1,pem_present,8,0.15750404195247714
1,pem_present,9,0.14000161737208316
1,pem_present,10,0.17416785257821366
1,work_status,1,0.003085984127151442
1,work_status,2,0.01117395346241723
1,work_status,3,0.009756432188424147
1,work_status,4,0.01117395346241723
1,work_status,5,0.013809026759789567
1,work_status,6,0.010303226577003444
1,work_status,7,0.0081096403744495
1,work_status,8,0.0081096403744495
1,work_status,9,0.011312147858416277
1,work_status,10,0.0081096403744495
1,social_activity_level,1,-0.0071134244198655106
1,social_activity_level,2,-0.006208126752306531
1,social_activity_level,3,-0.0030978371251629833
1,social_activity_level,4,-0.0037112478509332414
1,social_activity_level,5,-0.0045977011494251485
1,social_activity_level,6,0.0016255562457047068
1,social_activity_level,7,-0.0040054784437632
1,social_activity_level,8,0.0009507568110714848
1,social_activity_level,9,-0.0005915714610026379
1,social_activity_level,10,0.0003384800593148052
1,exercise_frequency,1,0.004038058168627123
